device_id,urlList
dev_103891,"['url_1046409', 'url_1046409', 'url_1004464', 'url_1004503', 'url_1004557', 'url_1004559', 'url_1004559', 'url_1004542', 'url_1004542', 'url_1004602', 'url_1004602', 'url_1004633', 'url_1004633', 'url_1004464', 'url_1004464', 'url_1004503', 'url_1004503', 'url_1004791', 'url_1004791', 'url_1004792', 'url_1004792', 'url_1004542', 'url_1004542', 'url_1004602', 'url_1004602', 'url_1046414', 'url_1046414']"
dev_103892,"['url_1004459', 'url_1033607', 'url_1004621', 'url_1023936', 'url_1004532', 'url_1004534', 'url_1004534', 'url_1033610', 'url_1033610']"
dev_103893,"['url_1004710', 'url_1033529', 'url_1033530', 'url_1033529', 'url_1004710', 'url_1033594', 'url_1033596', 'url_1033612', 'url_1019330', 'url_1005064', 'url_1019203', 'url_1037432', 'url_1037433', 'url_1037434', 'url_1037435', 'url_1037433', 'url_1037435', 'url_1004464', 'url_1037436', 'url_1037436', 'url_1037436', 'url_1018610', 'url_1004464', 'url_1004532', 'url_1004534', 'url_1004534', 'url_1004464', 'url_1004464', 'url_1037444', 'url_1037444', 'url_1004503', 'url_1004503', 'url_1004562', 'url_1004562', 'url_1004710', 'url_1004710', 'url_1004503', 'url_1004503', 'url_1004722', 'url_1004722', 'url_1004710', 'url_1004710', 'url_1004710', 'url_1004710', 'url_1004710', 'url_1004464', 'url_1004532', 'url_1004534', 'url_1004534', 'url_1004542', 'url_1004542', 'url_1004608', 'url_1004608', 'url_1037593', 'url_1037593', 'url_1043985', 'url_1004710', 'url_1044452', 'url_1050167', 'url_1050170']"
dev_103894,"['url_1033523', 'url_1033523', 'url_1004464', 'url_1004503', 'url_1004464', 'url_1004562', 'url_1004503', 'url_1033523', 'url_1004464', 'url_1004532', 'url_1004534', 'url_1004534', 'url_1033566', 'url_1033566', 'url_1004534', 'url_1004534', 'url_1004459', 'url_1004459', 'url_1005685', 'url_1005685', 'url_1033568', 'url_1033568', 'url_1033569', 'url_1033569', 'url_1005685', 'url_1005685', 'url_1006996', 'url_1005685', 'url_1005685', 'url_1033570', 'url_1004496', 'url_1004496', 'url_1033570', 'url_1005734', 'url_1033586', 'url_1005734', 'url_1033570', 'url_1004499', 'url_1008759', 'url_1004499', 'url_1033570', 'url_1004724', 'url_1004724', 'url_1033570', 'url_1005090', 'url_1033570', 'url_1005731', 'url_1005731', 'url_1033570', 'url_1033523', 'url_1033589', 'url_1005033', 'url_1004693', 'url_1005764']"
dev_103895,"['url_1032764', 'url_1007905', 'url_1000000', 'url_1000000', 'url_1000000', 'url_1000006', 'url_1000006', 'url_1000006', 'url_1004586', 'url_1004586', 'url_1004586', 'url_1004586', 'url_1004586', 'url_1004586']"
dev_103896,"['url_1000005', 'url_1000005', 'url_1000221', 'url_1000221', 'url_1000221', 'url_1000000', 'url_1000000', 'url_1000000', 'url_1000006', 'url_1000006', 'url_1000006', 'url_1000007', 'url_1000007', 'url_1000007', 'url_1000007', 'url_1000007', 'url_1000007', 'url_1032764', 'url_1032764', 'url_1032764', 'url_1000007', 'url_1000007', 'url_1000007', 'url_1000007', 'url_1000007', 'url_1000007', 'url_1032764', 'url_1032764', 'url_1032764']"
dev_103897,"['url_1035133', 'url_1005649', 'url_1006029', 'url_1005660', 'url_1005660', 'url_1035134', 'url_1035134']"
dev_103898,"['url_1000000', 'url_1000005', 'url_1000005', 'url_1000221', 'url_1000221', 'url_1000000', 'url_1000000', 'url_1030674', 'url_1030674', 'url_1000007', 'url_1000007', 'url_1000007', 'url_1000007', 'url_1030674', 'url_1030674', 'url_1000007', 'url_1000007', 'url_1000007', 'url_1000007', 'url_1030674', 'url_1030674', 'url_1000007', 'url_1000007', 'url_1000000', 'url_1000000', 'url_1000000', 'url_1030674', 'url_1000000']"
dev_103899,"['url_1038363', 'url_1004459', 'url_1004538', 'url_1004538', 'url_1004538', 'url_1038369', 'url_1038363', 'url_1038373', 'url_1038374', 'url_1005343', 'url_1038375', 'url_1005343', 'url_1038375', 'url_1004464', 'url_1005343', 'url_1038379', 'url_1005343', 'url_1038380', 'url_1004464', 'url_1004532', 'url_1038373', 'url_1004434', 'url_1004537', 'url_1005343', 'url_1038375', 'url_1004464', 'url_1005343', 'url_1038383', 'url_1005343', 'url_1038384', 'url_1005343', 'url_1005343', 'url_1004464', 'url_1004503', 'url_1004557', 'url_1004559', 'url_1004559', 'url_1004559', 'url_1004538', 'url_1004538', 'url_1004538', 'url_1004538', 'url_1004464', 'url_1004464', 'url_1004538', 'url_1004538', 'url_1004464', 'url_1004464', 'url_1004503', 'url_1004503', 'url_1004560', 'url_1004560', 'url_1004542', 'url_1004542', 'url_1004608', 'url_1004608', 'url_1038385', 'url_1038385', 'url_1040339', 'url_1040340']"
dev_103900,"['url_1004459', 'url_1005739', 'url_1004459', 'url_1004434', 'url_1004434', 'url_1004434', 'url_1004515', 'url_1004515', 'url_1004515', 'url_1004515']"
