"predict","F","T"
"F",1.0,0.0
"F",1.0,0.0
"F",1.0,0.0
"F",0.96,0.040000000000000036
"F",0.9728525865077973,0.027147413492202732
"F",0.6769230777025222,0.32307692229747775
"F",0.9998333334922791,1.6666650772090286E-4
"F",1.0,0.0
"F",1.0,0.0
"F",1.0,0.0
"F",0.9944444441795349,0.005555555820465075
"F",1.0,0.0
"F",1.0,0.0
"F",1.0,0.0
"F",1.0,0.0
"F",1.0,0.0
"F",1.0,0.0
"F",1.0,0.0
"F",0.9964189183712006,0.003581081628799443
"F",1.0,0.0
"F",1.0,0.0
"F",0.9996658730506897,3.341269493103427E-4
"F",0.9989189183712006,0.0010810816287993852
"F",0.96,0.040000000000000036
"F",0.9998533725738525,1.4662742614746094E-4
"F",1.0,0.0
"F",1.0,0.0
"F",0.9947544956207275,0.005245504379272514
"F",1.0,0.0
"F",1.0,0.0
"F",0.8990000003576278,0.10099999964237216
"F",1.0,0.0
"F",1.0,0.0
"F",0.9998533725738525,1.4662742614746094E-4
"F",0.98,0.020000000000000018
"F",1.0,0.0
"F",1.0,0.0
"F",0.68,0.31999999999999995
"F",1.0,0.0
"F",1.0,0.0
"F",1.0,0.0
"T",0.06,0.94
"F",1.0,0.0
"F",1.0,0.0
"F",0.9857575756311416,0.014242424368858364
"F",0.9944444441795349,0.005555555820465075
"F",1.0,0.0
"F",0.9835897439718246,0.016410256028175363
"F",0.973126437664032,0.02687356233596805
"F",1.0,0.0
"F",0.9911704432964324,0.008829556703567554
"F",1.0,0.0
"F",1.0,0.0
"F",1.0,0.0
"F",0.98,0.020000000000000018
"F",1.0,0.0
"F",1.0,0.0
"F",0.9999953949451447,4.605054855333357E-6
"F",0.9886690998077392,0.011330900192260795
"F",0.9997920644283295,2.0793557167053667E-4
"F",0.9999953949451447,4.605054855333357E-6
"F",1.0,0.0
"F",1.0,0.0
"F",0.9985563111305237,0.0014436888694763228
"F",0.9973653709888458,0.002634629011154188
"F",0.9999857854843139,1.4214515686061802E-5
"F",0.9983333337306977,0.0016666662693023415
"F",1.0,0.0
"F",1.0,0.0
"F",0.9952269923686982,0.00477300763130184
"F",0.9955962240695954,0.004403775930404641
"F",0.999928570985794,7.142901420598147E-5
"F",0.94,0.06000000000000005
"F",0.9985801804065705,0.0014198195934295166
"F",1.0,0.0
"F",1.0,0.0
"F",1.0,0.0
"F",0.9953846156597137,0.004615384340286299
"F",0.9992592597007751,7.407402992248846E-4
"F",0.9791344583034516,0.020865541696548418
"F",1.0,0.0
"F",0.9791344583034516,0.020865541696548418
"F",0.9791344583034516,0.020865541696548418
"F",1.0,0.0
"F",1.0,0.0
"F",0.9954426944255829,0.0045573055744171365
"F",0.998797595500946,0.001202404499053955
"F",1.0,0.0
"F",1.0,0.0
"F",1.0,0.0
"F",1.0,0.0
"F",0.9949532175064086,0.005046782493591362
"F",1.0,0.0
"F",1.0,0.0
"F",1.0,0.0
"F",0.9999576270580292,4.23729419708474E-5
"F",0.9791344583034516,0.020865541696548418
"F",1.0,0.0
"F",0.9966666662693023,0.003333333730697663
"F",0.999928570985794,7.142901420598147E-5
"F",1.0,0.0
"F",1.0,0.0
"F",1.0,0.0
"F",0.9951074159145356,0.0048925840854644465
"F",0.9995348834991455,4.6511650085445666E-4
"F",1.0,0.0
"F",1.0,0.0
"F",0.9997544181346893,2.455818653106512E-4
"F",0.9999953949451447,4.605054855333357E-6
