user_id,device_id
user_100000,dev_100000
user_100001,dev_100001
user_100002,dev_100002
user_100003,dev_100003
user_100004,dev_100004
user_100005,dev_100005
user_100006,dev_100006
user_100007,dev_100007
user_100008,dev_100008
user_100008,dev_100009
user_100009,dev_100010
user_100010,dev_100011
user_100011,dev_100012
user_100012,dev_100013
user_100013,dev_100014
user_100014,dev_100015
user_100015,dev_100016
user_100016,dev_100017
user_100017,dev_100018
user_100018,dev_100019
user_100018,dev_100020
user_100019,dev_100021
user_100020,dev_100022
user_100021,dev_100023
user_100022,dev_100024
user_100023,dev_100025
user_100024,dev_100026
user_100025,dev_100027
user_100026,dev_100028
user_100027,dev_100029
user_100028,dev_100030
user_100028,dev_100031
user_100029,dev_100032
user_100030,dev_100033
user_100031,dev_100034
user_100032,dev_100035
user_100032,dev_100036
user_100033,dev_100037
user_100034,dev_100038
user_100035,dev_100039
user_100036,dev_100040
user_100037,dev_100041
user_100038,dev_100042
user_100039,dev_100043
user_100039,dev_100044
user_100039,dev_100045
user_100039,dev_100046
user_100040,dev_100047
user_100041,dev_100048
user_100042,dev_100049
user_100042,dev_100050
user_100042,dev_100051
user_100043,dev_100052
user_100044,dev_100053
user_100045,dev_100054
user_100046,dev_100055
user_100047,dev_100056
user_100048,dev_100057
user_100049,dev_100058
user_100050,dev_100059
user_100050,dev_100060
user_100050,dev_100061
user_100050,dev_100062
user_100050,dev_100063
user_100051,dev_100064
user_100051,dev_100065
user_100052,dev_100066
user_100053,dev_100067
user_100054,dev_100068
user_100055,dev_100069
user_100056,dev_100070
user_100057,dev_100071
user_100058,dev_100072
user_100059,dev_100073
user_100060,dev_100074
user_100061,dev_100075
user_100062,dev_100076
user_100063,dev_100077
user_100064,dev_100078
user_100065,dev_100079
user_100066,dev_100080
user_100066,dev_100081
user_100066,dev_100082
user_100067,dev_100083
user_100068,dev_100084
user_100069,dev_100085
user_100070,dev_100086
user_100071,dev_100087
user_100072,dev_100088
user_100072,dev_100089
user_100072,dev_100090
user_100072,dev_100091
user_100072,dev_100092
user_100072,dev_100093
user_100072,dev_100094
user_100072,dev_100095
user_100072,dev_100096
user_100072,dev_100097
user_100072,dev_100098
user_100072,dev_100099
user_100072,dev_100100
user_100073,dev_100101
user_100074,dev_100102
user_100075,dev_100103
user_100076,dev_100104
user_100077,dev_100105
user_100078,dev_100106
user_100079,dev_100107
user_100080,dev_100108
user_100081,dev_100109
user_100082,dev_100110
user_100083,dev_100111
user_100084,dev_100112
user_100085,dev_100113
user_100086,dev_100114
user_100087,dev_100115
user_100088,dev_100116
user_100089,dev_100117
user_100090,dev_100118
user_100090,dev_100119
user_100090,dev_100120
user_100090,dev_100121
user_100090,dev_100122
user_100090,dev_100123
user_100090,dev_100124
user_100090,dev_100125
user_100090,dev_100126
user_100090,dev_100127
user_100091,dev_100128
user_100092,dev_100129
user_100093,dev_100130
user_100094,dev_100131
user_100095,dev_100132
user_100096,dev_100133
user_100097,dev_100134
user_100098,dev_100135
user_100099,dev_100136
user_100100,dev_100137
user_100100,dev_100138
user_100101,dev_100139
user_100102,dev_100140
user_100103,dev_100141
user_100104,dev_100142
user_100105,dev_100143
user_100106,dev_100144
user_100107,dev_100145
user_100108,dev_100146
user_100109,dev_100147
user_100110,dev_100148
user_100111,dev_100149
user_100112,dev_100150
user_100113,dev_100151
user_100114,dev_100152
user_100114,dev_100153
user_100114,dev_100154
user_100114,dev_100155
user_100114,dev_100156
user_100114,dev_100157
user_100114,dev_100158
user_100114,dev_100159
user_100114,dev_100160
user_100114,dev_100161
user_100114,dev_100162
user_100114,dev_100163
user_100114,dev_100164
user_100114,dev_100165
user_100114,dev_100166
user_100114,dev_100167
user_100114,dev_100168
user_100114,dev_100169
user_100114,dev_100170
user_100114,dev_100171
user_100114,dev_100172
user_100114,dev_100173
user_100114,dev_100174
user_100114,dev_100175
user_100114,dev_100176
user_100114,dev_100177
user_100114,dev_100178
user_100115,dev_100179
user_100116,dev_100180
user_100117,dev_100181
user_100117,dev_100182
user_100118,dev_100183
user_100119,dev_100184
user_100120,dev_100185
user_100121,dev_100186
user_100122,dev_100187
user_100123,dev_100188
user_100124,dev_100189
user_100125,dev_100190
user_100126,dev_100191
user_100126,dev_100192
user_100127,dev_100193
user_100128,dev_100194
user_100129,dev_100195
user_100129,dev_100196
user_100130,dev_100197
user_100131,dev_100198
