__device_id	__os_name	__os_version	__browser_name	__browser_version	__device_name	__category	__anonymous_1	__anonymous_2	__anonymous_3	__anonymous_4	__anonymous_5	__anonymous_6	__anonymous_7	__anonymous_8	__anonymous_9	__anonymous_10	__anonymous_11	__anonymous_12	__anonymous_13	__anonymous_14	__anonymous_15	__anonymous_16	__anonymous_17	__anonymous_18	__anonymous_19	__anonymous_20	__anonymous_21	__anonymous_22	__anonymous_23	__anonymous_24	__anonymous_25	__anonymous_26	__anonymous_27	__anonymous_28	__anonymous_29	__anonymous_30	__anonymous_31	__anonymous_32	__anonymous_33	__anonymous_34	__anonymous_35	__anonymous_36	__anonymous_37	__anonymous_38	__anonymous_39	__anonymous_40	__anonymous_41	__anonymous_42	__anonymous_43	__anonymous_44	__anonymous_45	__anonymous_46	__anonymous_47	__anonymous_48	__anonymous_49	__anonymous_50	__anonymous_51	__anonymous_52	__anonymous_53	__anonymous_54	__anonymous_55	__anonymous_56	__anonymous_57	__anonymous_58	__anonymous_59	__anonymous_60	__anonymous_61	__anonymous_62	__anonymous_63	__anonymous_64	__anonymous_65	__anonymous_66	__anonymous_67	__anonymous_68	__anonymous_69	__anonymous_70	__ip	__isp	__country	__region	__time_zone	__connection_type	__timestamp	__url	__user_id

string	Android Chrome\ OS Debian Fedora Linux Mac\ OS\ X Other SUSE Ubuntu Windows Windows\ 7 Windows\ 8 Windows\ 8.1 Windows\ Phone Windows\ RT Windows\ Vista Windows\ XP iOS	string	string	string	string	DESKTOP SMARTPHONE TABLET	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	d	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	string	string	string	string	string	conn_type_10 conn_type_11 conn_type_12 conn_type_13 conn_type_14	continuous	string	string

																																																																																					

dev_103832	Windows 7	?	Firefox	16	Other	DESKTOP	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	ip_102681	isp_100069	?	?	?	conn_type_10	1439125864448	url_1000005	user_103051

dev_100082	Windows	?	IE	11	Other	DESKTOP	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	ip_104235	isp_100134	country_132	region_1139	time_zone_137	conn_type_10	1440088850432	url_1023197	user_100066

dev_102127	Windows 7	?	Firefox	16	Other	DESKTOP	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	ip_101042	isp_100074	country_120	region_1053	time_zone_124	conn_type_13	1436503769088	url_1000005	user_101613
